Time Lag,Batch Size,Learning Rate,Units,Dropout Rate,RMSE,Training Time
1,32,0.001,50,0.2,25.06682866979491,14.418516159057617
1,32,0.001,50,0.3,28.42392454075559,9.19405221939087
1,32,0.001,80,0.2,28.664128554020373,13.115383386611938
1,32,0.001,80,0.3,29.93835929275071,14.231737613677979
1,32,0.001,128,0.2,26.115484159193983,19.716148376464844
1,32,0.001,128,0.3,22.304415203341577,10.797317266464233
1,32,0.01,50,0.2,21.72587291434926,16.632919311523438
1,32,0.01,50,0.3,46.97380002327967,7.74951696395874
1,32,0.01,80,0.2,23.649839824825882,29.75906991958618
1,32,0.01,80,0.3,42.88878249846651,11.263351917266846
1,32,0.01,128,0.2,28.170410138060756,6.26334023475647
1,32,0.01,128,0.3,25.642295486080606,20.96069025993347
1,32,0.1,50,0.2,24.955528067348798,13.137109756469727
1,32,0.1,50,0.3,22.53576383075621,14.593995332717896
1,32,0.1,80,0.2,34.71376026117265,14.817968130111694
1,32,0.1,80,0.3,28.735960439167457,7.482525825500488
1,32,0.1,128,0.2,24.422860499484003,10.762553453445435
1,32,0.1,128,0.3,23.337567470270002,10.531143188476562
1,64,0.001,50,0.2,26.847147482654268,9.237557888031006
1,64,0.001,50,0.3,23.85347832697089,17.736517667770386
1,64,0.001,80,0.2,35.158497712796375,10.290355205535889
1,64,0.001,80,0.3,23.73009403832444,11.636501550674438
1,64,0.001,128,0.2,29.302855501257604,8.37074589729309
1,64,0.001,128,0.3,25.364635338252697,14.604347944259644
1,64,0.01,50,0.2,31.011972746985315,10.501855850219727
1,64,0.01,50,0.3,22.84049737166331,13.121168375015259
1,64,0.01,80,0.2,23.869278232872123,14.121466875076294
1,64,0.01,80,0.3,27.42849959284497,10.510175704956055
1,64,0.01,128,0.2,26.363444204073897,17.279215335845947
1,64,0.01,128,0.3,34.328472276951885,13.313752889633179
1,64,0.1,50,0.2,36.70181044616546,9.791774988174438
1,64,0.1,50,0.3,25.445749914102517,7.656044244766235
1,64,0.1,80,0.2,32.070381506519915,10.014326095581055
1,64,0.1,80,0.3,36.43250731734068,9.412426710128784
1,64,0.1,128,0.2,27.250828157713002,5.7939958572387695
1,64,0.1,128,0.3,23.1186273934508,11.301774978637695
1,128,0.001,50,0.2,39.62938993218937,6.852079153060913
1,128,0.001,50,0.3,32.84500458412525,8.677666187286377
1,128,0.001,80,0.2,28.58030963945442,10.698026418685913
1,128,0.001,80,0.3,28.243491214036318,6.05909276008606
1,128,0.001,128,0.2,29.481159673997247,5.6071765422821045
1,128,0.001,128,0.3,38.00801482369671,8.274876594543457
1,128,0.01,50,0.2,32.99146243404689,4.759493827819824
1,128,0.01,50,0.3,35.629799763288545,11.505594491958618
1,128,0.01,80,0.2,32.20188764662047,4.924585819244385
1,128,0.01,80,0.3,25.083514924928235,11.506314039230347
1,128,0.01,128,0.2,44.84241162528876,8.337746858596802
1,128,0.01,128,0.3,42.705405781473516,6.7013092041015625
1,128,0.1,50,0.2,36.5106910027788,6.911804437637329
1,128,0.1,50,0.3,28.258897011046567,6.731866121292114
1,128,0.1,80,0.2,27.486809413641158,5.99169921875
1,128,0.1,80,0.3,36.10146870519926,7.373207330703735
1,128,0.1,128,0.2,43.10024913648168,7.516664505004883
1,128,0.1,128,0.3,27.553561111323283,14.353407859802246
5,32,0.001,50,0.2,40.701264211765015,7.26521372795105
5,32,0.001,50,0.3,30.156126568523472,14.420304775238037
5,32,0.001,80,0.2,29.43242722320679,10.59694218635559
5,32,0.001,80,0.3,38.22237846391619,17.695520877838135
5,32,0.001,128,0.2,30.694702317439475,8.265122175216675
5,32,0.001,128,0.3,40.769577912520404,7.717843294143677
5,32,0.01,50,0.2,28.737271202448945,12.473668813705444
5,32,0.01,50,0.3,30.627374568953076,18.05463457107544
5,32,0.01,80,0.2,33.53578832878826,8.945043325424194
5,32,0.01,80,0.3,29.002937159718023,12.705423831939697
5,32,0.01,128,0.2,29.134582608226633,13.07609510421753
5,32,0.01,128,0.3,32.448311608767746,17.498879194259644
5,32,0.1,50,0.2,28.655578135269547,14.680715560913086
5,32,0.1,50,0.3,38.109465949324935,14.762172937393188
5,32,0.1,80,0.2,34.44814913226971,18.635395526885986
5,32,0.1,80,0.3,29.452597627523637,8.231490850448608
5,32,0.1,128,0.2,36.353854912001246,7.747366428375244
5,32,0.1,128,0.3,28.168839209252663,12.083173513412476
5,64,0.001,50,0.2,30.672637397678812,7.3357932567596436
5,64,0.001,50,0.3,32.426461494712285,8.97692346572876
5,64,0.001,80,0.2,59.91764084254302,6.784242630004883
5,64,0.001,80,0.3,30.51531972438749,7.256971120834351
5,64,0.001,128,0.2,43.3648047342291,17.284231424331665
5,64,0.001,128,0.3,36.88043217368063,8.72492003440857
5,64,0.01,50,0.2,28.495179302738638,9.006206512451172
5,64,0.01,50,0.3,29.02540640258892,17.36419153213501
5,64,0.01,80,0.2,47.47281066913214,8.859346628189087
5,64,0.01,80,0.3,33.47694427483994,6.035649299621582
5,64,0.01,128,0.2,61.975832695100706,9.882134437561035
5,64,0.01,128,0.3,30.36061775441522,7.98422384262085
5,64,0.1,50,0.2,34.82842003836063,11.112215518951416
5,64,0.1,50,0.3,31.449504305473695,7.042771100997925
5,64,0.1,80,0.2,30.78939553784345,17.47870969772339
5,64,0.1,80,0.3,42.61245477943896,5.6779444217681885
5,64,0.1,128,0.2,33.38987281863108,11.672019481658936
5,64,0.1,128,0.3,38.957154598633736,11.029890060424805
5,128,0.001,50,0.2,60.27179117115363,7.164748668670654
5,128,0.001,50,0.3,65.07431433499353,6.206946849822998
5,128,0.001,80,0.2,30.72929299854563,8.916918516159058
5,128,0.001,80,0.3,32.524992034368935,4.046501636505127
5,128,0.001,128,0.2,65.4781711990543,9.775089740753174
5,128,0.001,128,0.3,35.490480917264826,7.2948317527771
5,128,0.01,50,0.2,29.966881737584746,5.001150369644165
5,128,0.01,50,0.3,39.602167418723255,5.9020349979400635
5,128,0.01,80,0.2,57.85859069660104,8.552426815032959
5,128,0.01,80,0.3,36.49105684401601,6.3721764087677
5,128,0.01,128,0.2,41.741942652968035,9.195909976959229
5,128,0.01,128,0.3,43.27000720136862,7.742861270904541
5,128,0.1,50,0.2,28.67755733332801,5.142422437667847
5,128,0.1,50,0.3,43.4297435417186,7.884094476699829
5,128,0.1,80,0.2,31.209141897663663,7.135539293289185
5,128,0.1,80,0.3,34.21732922922863,6.303265571594238
5,128,0.1,128,0.2,48.22828812434135,13.358577251434326
5,128,0.1,128,0.3,77.18202030011349,9.127225160598755
10,32,0.001,50,0.2,34.76410745519311,16.829078912734985
10,32,0.001,50,0.3,73.04518226307876,6.6209657192230225
10,32,0.001,80,0.2,33.147647019808275,12.898130655288696
10,32,0.001,80,0.3,37.44345892612676,26.907028675079346
10,32,0.001,128,0.2,42.45168116054078,13.150158166885376
10,32,0.001,128,0.3,34.96672713075147,10.296552181243896
10,32,0.01,50,0.2,70.00117258039367,9.453372478485107
10,32,0.01,50,0.3,33.91085143584674,16.34226155281067
10,32,0.01,80,0.2,57.348130105783056,18.067981719970703
10,32,0.01,80,0.3,39.959409436581176,13.334399700164795
10,32,0.01,128,0.2,52.53837947461774,9.929397821426392
10,32,0.01,128,0.3,47.74248245186981,7.165541410446167
10,32,0.1,50,0.2,37.2290472622152,7.9083428382873535
10,32,0.1,50,0.3,37.46748085491383,9.614561796188354
10,32,0.1,80,0.2,70.271676084853,10.23473310470581
10,32,0.1,80,0.3,36.25152745957622,8.659552097320557
10,32,0.1,128,0.2,60.77193446249351,23.547717094421387
10,32,0.1,128,0.3,41.81717955767928,14.533093452453613
10,64,0.001,50,0.2,49.65781278592189,11.117594957351685
10,64,0.001,50,0.3,33.900197810518975,8.884974718093872
10,64,0.001,80,0.2,80.79430293782141,10.08016037940979
10,64,0.001,80,0.3,36.228490401823315,10.332554340362549
10,64,0.001,128,0.2,43.413498716516365,12.708833932876587
10,64,0.001,128,0.3,60.77161135801597,13.530942916870117
10,64,0.01,50,0.2,44.91455332779929,11.143244743347168
10,64,0.01,50,0.3,40.604939046352996,12.796431541442871
10,64,0.01,80,0.2,62.08092489499045,10.51432728767395
10,64,0.01,80,0.3,34.95961755363194,6.728853702545166
10,64,0.01,128,0.2,66.7826777000807,9.693848371505737
10,64,0.01,128,0.3,45.587355480936594,11.30630087852478
10,64,0.1,50,0.2,35.63077566672596,8.669033288955688
10,64,0.1,50,0.3,34.67214235591996,8.87991714477539
10,64,0.1,80,0.2,64.88683850627989,8.784685134887695
10,64,0.1,80,0.3,61.098323847435196,9.487889528274536
10,64,0.1,128,0.2,76.38832634622597,14.886364698410034
10,64,0.1,128,0.3,54.09949447411747,8.286255836486816
10,128,0.001,50,0.2,38.63145775350062,4.243593454360962
10,128,0.001,50,0.3,45.94312532433908,7.090711355209351
10,128,0.001,80,0.2,42.40753218605329,4.302549123764038
10,128,0.001,80,0.3,53.79341716720356,5.645858526229858
10,128,0.001,128,0.2,75.60782615207312,9.006893634796143
10,128,0.001,128,0.3,47.76999084019232,6.341779708862305
10,128,0.01,50,0.2,52.66790616006523,4.920403718948364
10,128,0.01,50,0.3,63.59538089026763,7.172284126281738
10,128,0.01,80,0.2,50.01412765512653,7.794305324554443
10,128,0.01,80,0.3,36.61369499739278,4.3754284381866455
10,128,0.01,128,0.2,58.68221134332555,10.215680599212646
10,128,0.01,128,0.3,91.4407397461735,9.584777593612671
10,128,0.1,50,0.2,77.27079895359331,5.996105670928955
10,128,0.1,50,0.3,34.98932471686397,4.727207899093628
10,128,0.1,80,0.2,43.782651607253314,3.9746086597442627
10,128,0.1,80,0.3,85.55410537130322,7.597959995269775
10,128,0.1,128,0.2,98.28600341152179,8.363263368606567
10,128,0.1,128,0.3,96.31642069089068,5.69443941116333
20,32,0.001,50,0.2,88.58754879727567,10.950798988342285
20,32,0.001,50,0.3,63.07423020603617,15.494024753570557
20,32,0.001,80,0.2,96.52699760796365,8.448105335235596
20,32,0.001,80,0.3,80.23552820496184,9.012417793273926
20,32,0.001,128,0.2,69.34061953169967,7.266525983810425
20,32,0.001,128,0.3,65.60205146338645,8.617368936538696
20,32,0.01,50,0.2,61.99081070258189,8.67266058921814
20,32,0.01,50,0.3,77.18302519009826,15.151536464691162
20,32,0.01,80,0.2,57.195322688471734,11.724749565124512
20,32,0.01,80,0.3,65.65277282746804,13.054545164108276
20,32,0.01,128,0.2,78.39730215032253,10.11002254486084
20,32,0.01,128,0.3,106.08141789755054,12.184895515441895
20,32,0.1,50,0.2,137.75244746716692,8.794631242752075
20,32,0.1,50,0.3,54.18516387312788,9.664083003997803
20,32,0.1,80,0.2,50.218977574033744,7.984659194946289
20,32,0.1,80,0.3,140.25770242346775,7.752032279968262
20,32,0.1,128,0.2,102.56490527112472,9.370682716369629
20,32,0.1,128,0.3,73.74171923236005,10.00727391242981
20,64,0.001,50,0.2,77.08710182039586,9.197556734085083
20,64,0.001,50,0.3,111.10690317581533,6.9072265625
20,64,0.001,80,0.2,58.52632813458249,6.4409019947052
20,64,0.001,80,0.3,195.43147055726902,7.72598123550415
20,64,0.001,128,0.2,44.44395213416176,9.41801905632019
20,64,0.001,128,0.3,166.58231040458162,8.821707248687744
20,64,0.01,50,0.2,62.17176955061217,7.462459087371826
20,64,0.01,50,0.3,57.52253373543493,10.26861023902893
20,64,0.01,80,0.2,117.7090035647077,7.792853116989136
20,64,0.01,80,0.3,98.38368025617515,7.462389707565308
20,64,0.01,128,0.2,90.97298845538137,10.109013080596924
20,64,0.01,128,0.3,94.96722028245553,9.682912349700928
20,64,0.1,50,0.2,81.8926698095564,9.338828563690186
20,64,0.1,50,0.3,44.074184305157715,9.933332920074463
20,64,0.1,80,0.2,86.58542386797727,8.246048927307129
20,64,0.1,80,0.3,49.336005777954696,9.216219902038574
20,64,0.1,128,0.2,86.0133561135987,7.660146951675415
20,64,0.1,128,0.3,96.60144594835643,9.885197639465332
20,128,0.001,50,0.2,44.1537753954605,5.60571026802063
20,128,0.001,50,0.3,150.8153478496763,5.583959341049194
20,128,0.001,80,0.2,83.91775040381204,4.75274133682251
20,128,0.001,80,0.3,82.53388262363305,5.938774347305298
20,128,0.001,128,0.2,42.38757936707947,5.476969003677368
20,128,0.001,128,0.3,59.87989846193746,6.802485466003418
20,128,0.01,50,0.2,45.20513026253003,4.815089225769043
20,128,0.01,50,0.3,109.33790709829086,3.6495778560638428
20,128,0.01,80,0.2,62.87428214977049,5.51384162902832
20,128,0.01,80,0.3,44.004347087184065,6.209329128265381
20,128,0.01,128,0.2,104.84641274461099,7.307831764221191
20,128,0.01,128,0.3,77.23541033482825,5.0959532260894775
20,128,0.1,50,0.2,52.19290538696955,5.655232906341553
20,128,0.1,50,0.3,80.42058725147257,4.719912767410278
20,128,0.1,80,0.2,56.66375288836949,5.580316066741943
20,128,0.1,80,0.3,72.70457671914411,4.501506090164185
20,128,0.1,128,0.2,62.25718615560731,6.897817134857178
20,128,0.1,128,0.3,103.96063894386864,7.505632162094116
30,32,0.001,50,0.2,127.34966246136325,6.693575143814087
30,32,0.001,50,0.3,85.90473830523351,5.460684776306152
30,32,0.001,80,0.2,154.35996103851704,15.469768047332764
30,32,0.001,80,0.3,172.4887542927377,16.840815544128418
30,32,0.001,128,0.2,114.64271527231092,7.66244649887085
30,32,0.001,128,0.3,56.38353775161587,7.222898721694946
30,32,0.01,50,0.2,90.18081960962427,8.964209794998169
30,32,0.01,50,0.3,58.793686407451034,7.817022800445557
30,32,0.01,80,0.2,109.41464442530038,6.5623252391815186
30,32,0.01,80,0.3,55.425530153084196,7.180306434631348
30,32,0.01,128,0.2,141.31842318820034,14.24042296409607
30,32,0.01,128,0.3,121.81996837994282,10.164548397064209
30,32,0.1,50,0.2,87.7035433510103,7.486428737640381
30,32,0.1,50,0.3,62.52918721046356,9.180994272232056
30,32,0.1,80,0.2,58.08405695498223,7.4088592529296875
30,32,0.1,80,0.3,78.6284579688732,12.018555641174316
30,32,0.1,128,0.2,106.42280345463554,11.4930419921875
30,32,0.1,128,0.3,57.44186140146732,8.259881734848022
30,64,0.001,50,0.2,48.46394260140244,4.472810983657837
30,64,0.001,50,0.3,75.90258686968048,6.068808078765869
30,64,0.001,80,0.2,147.3184398204135,6.004853010177612
30,64,0.001,80,0.3,58.74095411635349,8.362880229949951
30,64,0.001,128,0.2,165.12456658905376,9.366135120391846
30,64,0.001,128,0.3,111.11602788267149,7.924927473068237
30,64,0.01,50,0.2,195.96229810050158,5.990478992462158
30,64,0.01,50,0.3,122.50376619044272,5.898003816604614
30,64,0.01,80,0.2,80.13908729986119,6.5902979373931885
30,64,0.01,80,0.3,104.72424537669363,6.5296690464019775
30,64,0.01,128,0.2,58.905801991601464,6.364876747131348
30,64,0.01,128,0.3,214.9772987774596,8.942485809326172
30,64,0.1,50,0.2,141.51039547067157,5.652593612670898
30,64,0.1,50,0.3,137.7614568988035,7.223165035247803
30,64,0.1,80,0.2,117.59931971149966,8.178045749664307
30,64,0.1,80,0.3,191.87980170507484,6.588375091552734
30,64,0.1,128,0.2,186.46957092361146,7.955412149429321
30,64,0.1,128,0.3,137.90689183347564,8.482357263565063
30,128,0.001,50,0.2,49.42407012527224,4.702710866928101
30,128,0.001,50,0.3,60.77724912515989,4.954705715179443
30,128,0.001,80,0.2,540.116189115163,5.303916931152344
30,128,0.001,80,0.3,55.33918205396465,5.642148733139038
30,128,0.001,128,0.2,365.84772201979155,6.526115655899048
30,128,0.001,128,0.3,152.94467836479967,8.937747716903687
30,128,0.01,50,0.2,128.81152664585238,9.019402742385864
30,128,0.01,50,0.3,107.12153841768186,5.644333839416504
30,128,0.01,80,0.2,199.02704024615574,5.536276340484619
30,128,0.01,80,0.3,171.80107177552975,5.1790852546691895
30,128,0.01,128,0.2,980.3328219831199,9.617072105407715
30,128,0.01,128,0.3,288.3314797984919,6.325087070465088
30,128,0.1,50,0.2,233.667782386599,5.153214693069458
30,128,0.1,50,0.3,150.89084721850574,5.66851019859314
30,128,0.1,80,0.2,248.05420434692888,4.926883935928345
30,128,0.1,80,0.3,128.09077972275125,5.44197416305542
30,128,0.1,128,0.2,755.0511892157942,6.5508506298065186
30,128,0.1,128,0.3,184.5419837020877,7.183851718902588
